,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating
1,3075044,Charming room in pet friendly apt,42.28624082,-71.13437396,Apartment,2,1.0,1.0,1.0,94.0
2,6976,Mexican Folk Art Haven in Boston,42.29243789,-71.13576525,Apartment,2,1.0,1.0,1.0,98.0
3,1436513,Spacious Sunny Bedroom Suite in Historic Home,42.28110619,-71.12102117,House,4,1.0,1.0,2.0,100.0
4,7651065,Come Home to Boston,42.28451221,-71.13625805,House,2,1.5,1.0,2.0,99.0
5,12386020,Private Bedroom + Great Coffee,42.2916898,-71.13189277,Condominium,2,1.0,1.0,1.0,100.0
6,5706985,New Lrg Studio apt 15 min to Boston,42.28138963,-71.13119042,Apartment,3,1.0,1.0,2.0,90.0
7,2843445,"""Tranquility"" on ""Top of the Hill""",42.2819461,-71.14102161,House,2,2.0,1.0,1.0,96.0
8,753446,6 miles away from downtown Boston!,42.28587764,-71.12490956,Condominium,2,1.0,1.0,2.0,96.0
9,849408,Perfect & Practical Boston Rental,42.28882028,-71.1395101,Apartment,5,1.0,2.0,2.0,94.0
10,12023024,Cozy room in a well located house,42.2864482,-71.13932539,House,2,1.0,1.0,1.0,80.0
11,1668313,Room in Rozzie-Twin Bed-Full Bath,42.28194183,-71.1333719,House,1,1.0,1.0,1.0,94.0
12,2684840,"Updated, spacious living in Rozzie",42.29172341,-71.13155602,Condominium,4,1.0,2.0,2.0,100.0
13,13547301,2 Bedroom Apartment in Boston,42.28764103,-71.12988287,Apartment,5,1.0,2.0,3.0,97.0
14,5434353,Quiet  Beauty in Boston,42.28626474,-71.13706513,House,2,1.5,2.0,2.0,91.0
15,225979,Cozy Room & Fresh Roasted Coffee,42.28145207,-71.12925004,Apartment,1,0.0,1.0,1.0,96.0
16,3420384,"Convient, Safe and Comfortable",42.27440801,-71.12529404,House,4,1.0,1.0,3.0,100.0
17,13512930,Roslindale Beauty next to Arboretum,42.29181492,-71.13158793,Condominium,2,1.0,1.0,1.0,100.0
19,7252607,Private Room near Public Transport,42.28280175,-71.11514509,House,2,1.0,1.0,1.0,95.0
20,2583074,Cozy room in a charming villa.,42.27964782,-71.13605873,Villa,1,2.5,1.0,1.0,99.0
21,13251243,Arborside Guest Cottage,42.29403534,-71.13223725,House,3,1.0,0.0,2.0,98.0
22,225834,Skyline View to Boston,42.28052813,-71.13084254,Apartment,2,0.0,1.0,1.0,98.0
23,6400432,Spacious 3 bedroom cape cod style,42.27838291,-71.1287801,House,8,1.0,3.0,5.0,88.0
24,5498472,"4BD/3.5BA, Perfect for families!",42.27683095,-71.12955974,House,5,3.5,4.0,3.0,100.0
25,894539,Private room in house ,42.29090393,-71.13023771,House,2,1.5,1.0,1.0,96.0
26,879929,Surround yourself with custom art!,42.29151999,-71.13185777,Apartment,2,1.0,1.0,1.0,95.0
27,9218312,Sunny bedroom with private bathroom,42.28907107,-71.12823296,House,2,1.0,1.0,1.0,99.0
28,321328,Bright Room Near Roslindale Village,42.29223824,-71.13449706,Apartment,2,1.0,1.0,2.0,90.0
29,1810172,Room for 2 in Rozzie - Full Bath,42.28208581,-71.13334868,House,2,1.0,1.0,1.0,96.0
30,6513924,Private room in spacious condo!,42.28456151,-71.11972634,Condominium,1,1.0,1.0,1.0,92.0
31,7093109,Adorable  Apt. 20 min from Downtown,42.27696862,-71.11775586,Apartment,6,1.0,2.0,2.0,100.0
33,7086825,Private Room near public transport,42.28228163,-71.11681747,House,1,1.0,1.0,1.0,98.0
34,1861070,Charming Gambrel on a sweet street,42.27691292,-71.12823284,House,1,1.5,1.0,1.0,96.0
35,4283698,Private 1 bedroom w/ kitchenette,42.28967076,-71.13728641,House,4,1.0,1.0,2.0,87.0
37,8548176,Charming 3 bedroom-15 min to Boston,42.2791761,-71.1327718,House,16,1.0,3.0,5.0,91.0
38,4922204,Charming new house-15 min to Boston,42.28214228,-71.12904915,House,16,2.5,3.0,7.0,95.0
39,4085362,"""Room with a View""  from ""Top of the Hill""",42.28174852,-71.14031784,House,2,2.0,1.0,1.0,97.0
40,3755609,Lovely & Gracious Victorian room,42.275637200000006,-71.12480042,House,1,1.0,1.0,1.0,95.0
41,13768853,"Cozy, quiet room in Roslindale",42.2875977,-71.13448153,Apartment,4,1.0,1.0,2.0,96.0
42,1936861,Private Room in Rozzie,42.28997231,-71.13614632,Apartment,1,1.0,1.0,1.0,98.0
43,4461111,Queen room in a charming villa,42.27896822,-71.13671456,House,1,1.5,1.0,1.0,100.0
44,1724900,Charming sunlit house in Boston,42.28290546,-71.13267674,House,4,1.0,2.0,2.0,92.0
45,13937181,Guest Room in Cozy Home,42.27636368,-71.13643293,House,2,2.0,1.0,1.0,96.0
46,3968797,Sunny bedroom in large quiet house,42.29110718,-71.13133846,House,2,1.5,1.0,1.0,97.0
47,1494726,Cozy in Rozzie!,42.27571563,-71.13013943,House,1,1.0,1.0,1.0,93.0
48,8473851,Private Room in Single Family Home,42.27493019,-71.13062801,House,2,2.0,1.0,1.0,99.0
49,3575220,The Artist room in beautiful villa.,42.28027891,-71.13586963,House,1,2.5,1.0,1.0,97.0
50,1591827,PrivRoom+Bath In Roslindale/Boston,42.28556003,-71.1239987,House,2,1.0,1.0,1.0,92.0
51,3229255,1bd Boston apt - Convenient & quiet,42.28702561,-71.13353879,Apartment,3,1.0,1.0,1.0,99.0
52,1721016,Quiet Sunlit Attic Studio,42.28606773,-71.1323625,Apartment,2,1.0,0.0,1.0,100.0
55,12927298,Private House in Roslindale/Boston/Arboretum,42.29061656,-71.13273461,House,7,2.0,3.0,3.0,80.0
57,594693,Private room in peaceful space,42.30797481,-71.11622135,Apartment,2,1.0,1.0,1.0,93.0
58,2384581,"Loft bedroom, sleeps 2",42.30935659,-71.1168273,House,2,1.0,1.0,1.0,93.0
59,735970,Part of a Large Condo Jamaica Plain,42.31691221,-71.11302542,Bed & Breakfast,2,1.0,1.0,1.0,100.0
60,4262255,Beautiful and sunny condo ,42.30398456,-71.10449361,Apartment,2,1.0,1.0,1.0,99.0
61,4000384,Sunlit room with private bath,42.31632876,-71.09909642,House,2,1.0,1.0,1.0,97.0
62,6693305,"Bed, Bath and Beyond III in JP",42.32002252,-71.1059405,Apartment,2,1.0,1.0,1.0,100.0
63,6730758,Private studio by subway w/parking,42.31451961,-71.10558689,Apartment,4,1.0,1.0,2.0,97.0
64,6248970,Spacious room convenient to subway,42.32171967,-71.10345882,Apartment,1,1.0,1.0,1.0,96.0
66,14246616,"Cozy Room off Centre St, JP!",42.31951,-71.1053766,Apartment,2,1.0,1.0,1.0,73.0
67,3703674,Private floor in Jamaica Plain home,42.31527457,-71.11331606,Townhouse,2,1.0,1.0,1.0,100.0
68,4792901,Spacious room in secluded townhouse,42.31549953,-71.11706562,House,2,1.0,1.0,1.0,90.0
69,5717528,Charming Victorian near T,42.31690481,-71.10519471,Apartment,1,1.0,1.0,1.0,94.0
70,5601743,"Beautiful, Expansive Space in JP",42.31189729,-71.10315398,House,2,1.0,1.0,1.0,82.0
72,519272,"Cozy Room + Private Bath, JP Boston",42.30510763,-71.10643297,Apartment,2,1.5,1.0,1.0,98.0
74,8481291,"Beautiful, airy room in JP",42.31265282,-71.0997234,Apartment,2,1.0,1.0,1.0,100.0
75,6990904,Cozy JP bedroom near Orange Line T,42.31530071,-71.09976783,House,2,2.0,1.0,1.0,99.0
76,197727,Great Boston neighborhood Jamaica PLain,42.31319703,-71.11832362,Apartment,1,1.0,1.0,1.0,99.0
77,932853,Qn BR/Private Bath/Superhost/JP Ctr,42.31421512,-71.10940661,Apartment,2,2.0,1.0,1.0,96.0
78,11159585,Mark P.Coleman,42.31256676,-71.12607999,House,2,3.5,1.0,2.0,100.0
79,9677354,JP Gem,42.31678462,-71.10731719,Apartment,1,1.0,1.0,1.0,93.0
81,7956634,The Blue Room in JP,42.30370465,-71.11397057,Condominium,2,1.0,1.0,1.0,97.0
