,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,City
0,241032,Stylish Queen Anne Apartment,47.636289038357184,-122.37102519997765,Apartment,4,1.0,1.0,1.0,95.0,Seattle
1,953595,Bright & Airy Queen Anne Apartment,47.63912312136253,-122.36566646439582,Apartment,4,1.0,1.0,1.0,96.0,Seattle
2,3308979,New Modern House-Amazing water view,47.629724131577355,-122.3694831756176,House,11,4.5,5.0,7.0,97.0,Seattle
4,278830,Charming craftsman 3 bdm house,47.63291840276724,-122.37247063402224,House,6,2.0,3.0,3.0,92.0,Seattle
5,5956968,Private unit in a 1920s mansion,47.630525482401936,-122.36617406518856,House,2,1.0,1.0,1.0,95.0,Seattle
6,1909058,Queen Anne Private Bed and Bath,47.636605445320065,-122.36851905844937,House,2,1.0,1.0,1.0,99.0,Seattle
7,856550,Tiny Garden cabin on Queen Anne  ,47.640160541214655,-122.37585597885769,Cabin,2,1.0,1.0,1.0,97.0,Seattle
8,4948745,Urban Charm || Downtown || Views,47.632410299829,-122.35721606914028,Apartment,2,1.0,1.0,1.0,97.0,Seattle
9,2493658,Airy + Bright Queen Anne Apartment,47.63749172022628,-122.3668885909212,Apartment,4,1.0,1.0,1.0,97.0,Seattle
10,175576,Private Apartment - Queen Anne Hill,47.63548170841016,-122.35847776162176,House,2,1.0,1.0,1.0,97.0,Seattle
11,4454295,Upper Queen Anne Craftsman House,47.63721407513561,-122.36004576141458,House,2,1.0,1.0,1.0,97.0,Seattle
12,3883392,Open Plan 2bdr/1bath in Queen Anne,47.6355455115124,-122.37317075183506,Apartment,4,1.0,2.0,3.0,98.0,Seattle
13,8889257,Elegance in Historic Queen Anne,47.629506809234314,-122.3676292967417,House,5,1.0,2.0,3.0,100.0,Seattle
14,5680462,Stunning 6 bd in THE BEST Location!,47.63920265551509,-122.36586274154313,House,16,3.5,6.0,15.0,98.0,Seattle
15,8988178,"Lovely Queen Anne Cottage, 2 BR",47.63564979343857,-122.37289282480928,House,5,1.0,2.0,2.0,80.0,Seattle
16,3245876,Park Life in Lower Queen Anne,47.626200373817085,-122.36660192617585,Apartment,2,1.0,1.0,1.0,95.0,Seattle
17,4933447,"Private Garden Suite, Bay View",47.64064587578452,-122.37240588895551,House,2,1.0,1.0,1.0,98.0,Seattle
19,6291829,Grand Craftsman Home on Queen Anne,47.63602477658138,-122.35869359564735,House,10,3.5,5.0,5.0,85.0,Seattle
20,9218403,Queen Anne View One Bedroom,47.62794033813239,-122.36495872243864,Condominium,1,1.0,1.0,1.0,100.0,Seattle
21,4125779,Cozy Queen Anne Finished Basement,47.63637426223885,-122.36103343324051,House,3,1.5,1.0,2.0,84.0,Seattle
22,8942678,Lovely Queen Anne home,47.63563222417987,-122.35888090262146,House,8,2.0,4.0,4.0,100.0,Seattle
24,6362362,Charming home on Queen Anne,47.63851671212965,-122.36958103291498,House,5,2.5,3.0,3.0,100.0,Seattle
25,3544550,VIEW-Monthly Rental Available,47.63139734518299,-122.36776687067899,House,8,2.5,3.0,5.0,100.0,Seattle
27,3200646,Micro Gypsy Wagon on Queen Anne,47.639266020260955,-122.37472581108143,Camper/RV,2,1.0,1.0,1.0,95.0,Seattle
28,8859380,STUNNING VIEW of Puget Sound,47.62990711611138,-122.36894813824877,Apartment,6,2.0,3.0,3.0,100.0,Seattle
29,4520099,Open Airy Queen Anne Condo,47.63981586823574,-122.37433846349177,Apartment,3,1.0,1.0,2.0,85.0,Seattle
30,2481869,Airy + Bright Queen Anne Cottage,47.63900777818944,-122.36532007300232,Apartment,4,1.0,1.0,1.0,96.0,Seattle
31,1110749,Queen Anne 3 bed near everything,47.63508504491007,-122.36444347330422,House,6,1.5,3.0,3.0,92.0,Seattle
32,5978498,1914 Stunner View Ocean Mountain,47.640633234573535,-122.37270939338377,House,4,3.0,3.0,2.0,88.0,Seattle
33,5021081,Seattle Queen Anne Beauty,47.63812148697112,-122.37578997278469,House,7,3.5,4.0,3.0,75.0,Seattle
